номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
МКУХ-005195,01.03.2026 23:59:59,Услуги,"Макрорегиональный филиал""Северо-Запад"" ПАО ""Ростелеком""",7707049388,784243002,Договор №1130/2008 от 20.08.2008,1130/2008,3555/МК,01.10.2008 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147212,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,569289.06,3156966.64,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005196 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002235 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005196,01.03.2026 23:59:59,Услуги,66 ПАРАЛЛЕЛЬ ООО,6658408544,745201001,Договор №01-04-2016 от 04.04.2016г.,04.01.2016,8419/МК,13.09.2016 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146744,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,7150,39650,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005197 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002240 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005197,01.03.2026 23:59:59,Услуги,ВЫМПЕЛКОМ ПАО (КПП 997750001),7713076301,997750001,Договор №518738260 от 29.04.2014,518738260,5441/МК,13.05.2014 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147991,ДО,руб.,1,Услуги от поставщика,смс-информирование,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,341976.16,1896413.26,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005200 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002250 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005200,01.03.2026 23:59:59,Услуги,АВЕЛАКОМ БИЗНЕС ООО,7743195070,774301001,Договор № 77/357 от 01.07.2017,77/357,7669/МК,03.08.2017 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146733,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1106.6,6136.6,Да,\N,\N,20.01,ПР: авторизации,"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005202 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002316 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005202,01.03.2026 23:59:59,Услуги,ИНФОРМСЕРВИС ООО,3444082321,344301001,Договор МК СПБ 11-02 от 01.06.2011,МК СПБ 11-02,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,2476.19,52000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005207 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002321 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005207,01.03.2026 23:59:59,Услуги,АТЕЛРЫБИНСК ООО,7610103240,761001001,Договор №60066-02-2015 от 01.02.2015,60066-02-2015,6034/МК,29.07.2015 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147729,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,222.85,4680,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005208 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002323 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005208,01.03.2026 23:59:59,Услуги,КОМПСЕРВИС ООО,6907009782,690701001,Договор №ию-0142 от 30.01.2014г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,150.62,3163,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005209 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002325 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005209,01.03.2026 23:59:59,Услуги,ГИГАБИТ ООО,7111020781,711101001,Договор №052 от 01.01.2017г.,52,3973/МК,27.04.2017 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147692,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,118,2478,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005210 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002326 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005210,01.03.2026 23:59:59,Услуги,МАКСНЕТ СИСТЕМЫ ООО,4025045699,402501001,Договор №22011 от 01.06.2012г.,21011,6768/МК,26.07.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147007,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2485.45,13782.95,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005211 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002327 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005211,01.03.2026 23:59:59,Услуги,МТС ПАО КПП 997750001,7740000076,997750001,Договор 2-07/МБ/74792 от 01.07.2010,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,32490.25,180173.21,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005212 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002328 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005212,01.03.2026 23:59:59,Услуги,МТС ПАО КПП 997750001,7740000076,997750001,Договор №2-СПБ/70421 от 10.02.2010г.,\N,\N,\N,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)",Прочие общепроизводственные расходы,\N,УХ,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,9129.86,50629.23,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
